nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
2502ALC3U;06-2025;22-900-01;84684685;1270270;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;04 Juni 2025;04 Juni 2025
2502OR5UP;05-2025;24-100-02;810811;16216;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;09 Mei 2025;09 Mei 2025
2500F49WE;02-2025;22-910-01;3393874;50908;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;07 Februari 2025;20 Februari 2025
2500F79DD;02-2025;22-910-01;2683604;40254;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;10 Februari 2025;21 Februari 2025
2500F79DF;02-2025;22-910-01;3399279;50989;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;10 Februari 2025;21 Februari 2025
2500F49JY;02-2025;24-104-24;11468468;229369;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;21 Februari 2025;21 Februari 2025
2500FZZ9I;02-2025;24-104-29;14890540;297811;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;25 Februari 2025;25 Februari 2025
2500HTNUX;02-2025;24-104-29;2731832;54637;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;05 Februari 2025;07 Februari 2025
2500LXAVX;03-2025;24-104-29;14163964;283279;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Maret 2025;10 Maret 2025
2500LY4K1;03-2025;24-104-29;6855856;137117;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Maret 2025;10 Maret 2025
2500LYXGK;03-2025;24-104-29;10693694;213874;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 Maret 2025;10 Maret 2025
